,Title,Published_date,Views,Likes,Comments,Month
145,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),11-05-2020,4374,150,74,May
146,How I Would Learn Data Science (If I Had to Start Over),08-05-2020,1374763,48688,1999,May
147,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),04-05-2020,5269,191,42,May
148,What You Need to Know for a Data Science Internship,01-05-2020,18512,1071,61,May
149,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),27-04-2020,8124,345,57,Apr
150,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),24-04-2020,14912,460,103,Apr
151,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,22-04-2020,3003,83,24,Apr
152,5 Tips for Crushing the Work From Home Life,20-04-2020,5298,200,38,Apr
153,Data Science Project from Scratch - Part 7 (Documenting Your Work),17-04-2020,16740,638,123,Apr
154,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),15-04-2020,23910,646,95,Apr
155,Data Science Project from Scratch  - Part 5 (Model Building),13-04-2020,36547,790,143,Apr
156,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),10-04-2020,61775,1702,207,Apr
